int;float;boolean;time;text
1;0.82415839;0;3:01 PM;randomtext 1
2;0.788147281;1;11:57 AM;randomtext 2
3;0.068557598;0;2:20 PM;randomtext 3
4;0.005052854;0;11:50 AM;randomtext 4
5;0.971539207;0;7:16 AM;randomtext 5
6;0.488228578;1;5:29 PM;randomtext 6
7;0.878776634;0;4:55 AM;randomtext 7
8;0.612717543;0;12:33 PM;randomtext 8
9;0.507138264;0;10:23 AM;randomtext 9
10;0.385006604;0;12:45 AM;randomtext 10
11;0.869954028;1;4:44 AM;randomtext 11
12;0.65316011;1;2:47 PM;randomtext 12
13;0.347915127;1;4:42 PM;randomtext 13
14;0.834978914;0;1:37 PM;randomtext 14
15;0.233222738;0;2:11 AM;randomtext 15
16;0.948783514;0;3:19 AM;randomtext 16
17;0.795264559;0;11:55 PM;randomtext 17
18;0.593620632;0;1:13 AM;randomtext 18
19;0.410701869;0;8:24 AM;randomtext 19
